Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,73404
design__instance__area,5.01985E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1279
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5879
design__max_cap_violation__count__corner:nom_tt_025C_1v80,151
power__internal__total,0.049616917967796326
power__switching__total,0.02267017588019371
power__leakage__total,0.00000212478971661767
power__total,0.07228922098875046
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.7016434298831413
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.8294156707318224
timing__hold__ws__corner:nom_tt_025C_1v80,-1.575831953973705
timing__setup__ws__corner:nom_tt_025C_1v80,7.189607335199322
timing__hold__tns__corner:nom_tt_025C_1v80,-1071.4683488174292
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,-1.575831953973705
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,1524
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.459957
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.378838
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4785
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5879
design__max_cap_violation__count__corner:nom_ss_100C_1v60,581
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.1339149939953588
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.2351648942140614
timing__hold__ws__corner:nom_ss_100C_1v60,-2.108651091199384
timing__setup__ws__corner:nom_ss_100C_1v60,-2.8805687539489244
timing__hold__tns__corner:nom_ss_100C_1v60,-869.6207164957718
timing__setup__tns__corner:nom_ss_100C_1v60,-1789.4452008887558
timing__hold__wns__corner:nom_ss_100C_1v60,-2.108651091199384
timing__setup__wns__corner:nom_ss_100C_1v60,-2.8805687539489244
timing__hold_vio__count__corner:nom_ss_100C_1v60,1312
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.154836
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1447
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.880569
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1447
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,269
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5879
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,25
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.5060429996050937
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6448961547313432
timing__hold__ws__corner:nom_ff_n40C_1v95,-1.20016844304206
timing__setup__ws__corner:nom_ff_n40C_1v95,8.470584473597174
timing__hold__tns__corner:nom_ff_n40C_1v95,-905.0039267479268
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,-1.20016844304206
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,1527
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.204581
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.625141
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,657
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5879
design__max_cap_violation__count__corner:min_tt_025C_1v80,81
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.6328264758000794
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.760685758136353
timing__hold__ws__corner:min_tt_025C_1v80,-1.3483712306123135
timing__setup__ws__corner:min_tt_025C_1v80,7.500517752522177
timing__hold__tns__corner:min_tt_025C_1v80,-844.5457763284679
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,-1.3483712306123135
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,1508
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.440529
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,16.486383
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,3615
design__max_fanout_violation__count__corner:min_ss_100C_1v60,5879
design__max_cap_violation__count__corner:min_ss_100C_1v60,456
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.0122412083934194
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.1177796782329334
timing__hold__ws__corner:min_ss_100C_1v60,-1.761495887900334
timing__setup__ws__corner:min_ss_100C_1v60,-1.3139569804108913
timing__hold__tns__corner:min_ss_100C_1v60,-551.812733792159
timing__setup__tns__corner:min_ss_100C_1v60,-216.4169704699541
timing__hold__wns__corner:min_ss_100C_1v60,-1.761495887900334
timing__setup__wns__corner:min_ss_100C_1v60,-1.3139569804108913
timing__hold_vio__count__corner:min_ss_100C_1v60,1138
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.120692
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,414
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-1.313957
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,414
design__max_slew_violation__count__corner:min_ff_n40C_1v95,68
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,5879
design__max_cap_violation__count__corner:min_ff_n40C_1v95,7
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.4579827757774644
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.5953260275475206
timing__hold__ws__corner:min_ff_n40C_1v95,-1.0506795730837077
timing__setup__ws__corner:min_ff_n40C_1v95,8.760169726459912
timing__hold__tns__corner:min_ff_n40C_1v95,-754.7444838289906
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-1.0506795730837077
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,1523
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.192525
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,19.710442
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,1898
design__max_fanout_violation__count__corner:max_tt_025C_1v80,5879
design__max_cap_violation__count__corner:max_tt_025C_1v80,198
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.7861598261568328
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.9019243385207766
timing__hold__ws__corner:max_tt_025C_1v80,-1.7870603280775743
timing__setup__ws__corner:max_tt_025C_1v80,6.839649040728422
timing__hold__tns__corner:max_tt_025C_1v80,-1278.2632345527172
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,-1.7870603280775743
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,1529
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.474893
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,16.276382
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,5912
design__max_fanout_violation__count__corner:max_ss_100C_1v60,5879
design__max_cap_violation__count__corner:max_ss_100C_1v60,668
clock__skew__worst_hold__corner:max_ss_100C_1v60,-3.2713317425317237
clock__skew__worst_setup__corner:max_ss_100C_1v60,1.3529915348822648
timing__hold__ws__corner:max_ss_100C_1v60,-2.4388003418154747
timing__setup__ws__corner:max_ss_100C_1v60,-4.039304116629376
timing__hold__tns__corner:max_ss_100C_1v60,-1173.1397412225488
timing__setup__tns__corner:max_ss_100C_1v60,-3552.5048228644664
timing__hold__wns__corner:max_ss_100C_1v60,-2.4388003418154747
timing__setup__wns__corner:max_ss_100C_1v60,-4.039304116629376
timing__hold_vio__count__corner:max_ss_100C_1v60,1412
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.171197
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,1541
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-4.039304
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,1541
design__max_slew_violation__count__corner:max_ff_n40C_1v95,580
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,5879
design__max_cap_violation__count__corner:max_ff_n40C_1v95,41
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.567311769174857
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.7018350543826111
timing__hold__ws__corner:max_ff_n40C_1v95,-1.3484249654082252
timing__setup__ws__corner:max_ff_n40C_1v95,8.077517550128514
timing__hold__tns__corner:max_ff_n40C_1v95,-1036.5570526420033
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,-1.3484249654082252
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,1533
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.214106
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,19.551466
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,5912
design__max_fanout_violation__count,5879
design__max_cap_violation__count,668
clock__skew__worst_hold,-2.4579827757774644
clock__skew__worst_setup,0.5953260275475206
timing__hold__ws,-2.4388003418154747
timing__setup__ws,-4.039304116629376
timing__hold__tns,-1278.2632345527172
timing__setup__tns,-3552.5048228644664
timing__hold__wns,-2.4388003418154747
timing__setup__wns,-4.039304116629376
timing__hold_vio__count,13006
timing__hold_r2r__ws,0.192525
timing__hold_r2r_vio__count,0
timing__setup_vio__count,3402
timing__setup_r2r__ws,-4.039304
timing__setup_r2r_vio__count,3402
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,73403
design__instance__area__stdcell,91849.3
design__instance__count__macros,1
design__instance__area__macros,4.928E+6
design__instance__utilization,0.493401
design__instance__utilization__stdcell,0.0175085
design__instance__count__class:macro,1
design__instance__count__class:inverter,1
design__instance__count__class:multi_input_combinational_cell,2
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,518545
design__instance__count__class:tap_cell,73400
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count,0
design__instance__displacement__total,79.475
design__instance__displacement__mean,0.001
design__instance__displacement__max,31.237
route__wirelength__estimated,194800
design__violations,0
antenna__violating__nets,23
antenna__violating__pins,23
route__antenna_violation__count,23
route__net,434
route__net__special,8
route__drc_errors__iter:1,327
route__wirelength__iter:1,220971
route__drc_errors__iter:2,28
route__wirelength__iter:2,221076
route__drc_errors__iter:3,15
route__wirelength__iter:3,221078
route__drc_errors__iter:4,0
route__wirelength__iter:4,221081
route__drc_errors,0
route__wirelength,221081
route__vias,811
route__vias__singlecut,811
route__vias__multicut,0
design__disconnected_pin__count,328
design__critical_disconnected_pin__count,0
route__wirelength__max,15017.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1949
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1949
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1949
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,1949
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,1949
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,1949
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,1949
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,1949
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1949
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1949
timing__unannotated_net_filtered__count,0
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,208
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,208
